2016/11/22 18:39:09 [error] 11900#0: *18 open() "/usr/local/Cellar/nginx/1.10.2_1/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.1", host: "localhost"
2016/11/22 18:39:53 [error] 11900#0: *18 open() "/usr/local/Cellar/nginx/1.10.2_1/html/rabin" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /rabin HTTP/1.1", host: "localhost"
2016/11/22 18:40:11 [error] 11900#0: *18 open() "/usr/local/Cellar/nginx/1.10.2_1/html/rabin" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /rabin HTTP/1.1", host: "localhost"
2016/11/22 18:40:21 [error] 11900#0: *18 open() "/usr/local/Cellar/nginx/1.10.2_1/html/rabin" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /rabin HTTP/1.1", host: "localhost"
2016/11/22 18:40:44 [error] 12315#0: *24 open() "/usr/local/Cellar/nginx/1.10.2_1/html/rabin" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /rabin HTTP/1.1", host: "localhost"
2016/11/22 18:40:46 [error] 12315#0: *24 open() "/usr/local/Cellar/nginx/1.10.2_1/html/rabin" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /rabin HTTP/1.1", host: "localhost"
2016/11/22 18:44:24 [error] 13182#0: *26 open() "/Users/amit/Projects/wps/wp-admin/css/install.css" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /wp-admin/css/install.css?ver=20100228 HTTP/1.1", host: "localhost:801", referrer: "http://localhost:801/"
2016/11/22 18:44:24 [error] 13182#0: *27 open() "/Users/amit/Projects/wps/wp-admin/css/install-rtl.css" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /wp-admin/css/install-rtl.css?ver=20100228 HTTP/1.1", host: "localhost:801", referrer: "http://localhost:801/"
2016/11/22 18:44:24 [error] 13182#0: *27 open() "/Users/amit/Projects/wps/wp-admin/images/wordpress-logo.png" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /wp-admin/images/wordpress-logo.png HTTP/1.1", host: "localhost:801", referrer: "http://localhost:801/"
2016/11/22 18:44:24 [error] 13182#0: *27 open() "/Users/amit/Projects/wps/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:801", referrer: "http://localhost:801/"
2016/11/22 18:44:37 [error] 13182#0: *27 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /rabin/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:801"
2016/11/22 18:44:45 [error] 13182#0: *28 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /rabin/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost:801"
2016/11/22 18:46:21 [error] 13690#0: *33 open() "/Users/amit/Projects/wps/wp-admin/css/install.css" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /wp-admin/css/install.css?ver=20100228 HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2016/11/22 18:46:21 [error] 13690#0: *34 open() "/Users/amit/Projects/wps/wp-admin/css/install-rtl.css" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /wp-admin/css/install-rtl.css?ver=20100228 HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2016/11/22 18:46:21 [error] 13690#0: *34 open() "/Users/amit/Projects/wps/wp-admin/images/wordpress-logo.png" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /wp-admin/images/wordpress-logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2016/11/22 18:46:50 [error] 13690#0: *34 open() "/Users/amit/Projects/wps/wp-admin/css/install.css" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /wp-admin/css/install.css?ver=20100228 HTTP/1.1", host: "localhost", referrer: "http://localhost/"
